 team | year | mon | gp |    ip    | ra  | t_er | i_er |  ra_9  | tm_era | ind_era | e  
------+------+-----+----+----------+-----+------+------+--------+--------+---------+----
 FW1  | 1871 |   7 |  6 |    54.00 | 135 |   57 |   57 |  22.50 |   9.50 |   9.50  | 62
 SLA  | 1923 |  10 |  7 |    60.67 |  64 |   39 |   58 |   9.49 |   5.79 |   8.60  |  8
 PHI  | 1930 |   9 | 26 |   232.67 | 228 |  189 |  212 |   8.82 |   7.31 |   8.20  | 38
 SLA  | 1951 |   4 | 12 |   103.00 |  94 |   92 |   92 |   8.21 |   8.04 |   8.04  | 11
 PHI  | 1929 |   7 | 29 |   253.00 | 243 |  202 |  221 |   8.64 |   7.19 |   7.86  | 34
 SLA  | 1937 |   4 |  7 |    61.67 |  56 |   52 |   52 |   8.17 |   7.59 |   7.59  |  7
 PHA  | 1936 |   7 | 33 |   284.33 | 272 |  222 |  239 |   8.61 |   7.03 |   7.57  | 41
 KC1  | 1955 |   4 | 14 |   125.00 | 115 |  105 |  105 |   8.28 |   7.56 |   7.56  | 12
 PHI  | 1938 |   4 | 11 |    95.67 |  88 |   64 |   80 |   8.28 |   6.02 |   7.53  | 13
 PHA  | 1939 |   7 | 29 |   255.67 | 229 |  211 |  211 |   8.06 |   7.43 |   7.43  | 31
 MIN  | 1994 |   4 | 25 |   220.67 | 198 |  180 |  180 |   8.08 |   7.34 |   7.34  | 18
 PIT  | 1950 |   6 | 26 |   229.67 | 209 |  187 |  187 |   8.19 |   7.33 |   7.33  | 29
 BSN  | 1922 |   4 | 13 |   113.00 | 104 |   57 |   92 |   8.28 |   4.54 |   7.33  | 20
 DET  | 1996 |   4 | 27 |   237.67 | 211 |  193 |  193 |   7.99 |   7.31 |   7.31  | 24
 NY2  | 1871 |   7 |  8 |    72.00 | 121 |   58 |   58 |  15.12 |   7.25 |   7.25  | 62
 KCA  | 1999 |   7 | 27 |   236.33 | 197 |  188 |  189 |   7.50 |   7.16 |   7.20  | 24
 PHI  | 1930 |   7 | 33 |   295.67 | 288 |  211 |  231 |   8.77 |   6.42 |   7.03  | 68
 COL  | 1993 |   5 | 29 |   258.67 | 221 |  202 |  202 |   7.69 |   7.03 |   7.03  | 31
 SLA  | 1936 |   7 | 35 |   305.00 | 265 |  226 |  238 |   7.82 |   6.67 |   7.02  | 46
 PHI  | 1924 |   9 | 27 |   240.33 | 212 |  162 |  187 |   7.94 |   6.07 |   7.00  | 28





